,Date,region,type,4046,4225,4770,year,TotalVolume,Price,Prop
5616,2017-12-31,Albany,conventional,2622.7,101135.53,20.25,2017,113514.42,1.47,0.9703889448869435
5617,2017-12-24,Albany,conventional,2811.71,58592.23,19.06,2017,77039.09,1.45,0.9542427516207083
5618,2017-12-17,Albany,conventional,2578.95,50811.52,79.18,2017,70677.56,1.43,0.9526390752126966
5619,2017-12-10,Albany,conventional,3220.05,75147.56,104.36,2017,92325.53,1.29,0.960668436180194
5620,2017-12-03,Albany,conventional,3772.0,126551.0,136.0,2017,139970.0,1.39,0.9750810605359748
5621,2017-11-26,Albany,conventional,2413.0,49076.0,62.0,2017,62977.0,1.5,0.9568313002358464
5622,2017-11-19,Albany,conventional,2695.0,80596.0,43.0,2017,97273.0,1.65,0.9748807819812069
5623,2017-11-12,Albany,conventional,4509.0,96748.0,213.0,2017,113586.0,1.26,0.977078659881556
5624,2017-11-05,Albany,conventional,2483.36,55509.31,33.88,2017,71076.94,1.62,0.9540170302324208
5625,2017-10-29,Albany,conventional,2959.76,57585.49,57.94,2017,69432.23,1.67,0.9255653659045096
5626,2017-10-22,Albany,conventional,3758.8,57340.3,35.48,2017,69704.09,1.56,0.941415898271462
5627,2017-10-15,Albany,conventional,3383.35,63355.37,62.45,2017,73574.89,1.65,0.9420874332711079
5628,2017-10-08,Albany,conventional,3679.82,45843.75,42.63,2017,55368.61,1.78,0.9137029844529625
5629,2017-10-01,Albany,conventional,4411.02,57416.25,77.85,2017,71205.11,1.69,0.9541204190431984
5630,2017-09-24,Albany,conventional,2508.62,56023.16,74.82,2017,68539.64,1.64,0.9497389520558064
5631,2017-09-17,Albany,conventional,3986.2,66934.64,33.59,2017,80109.29,1.41,0.9589277008071176
5632,2017-09-10,Albany,conventional,3368.35,87155.11,136.96,2017,99645.88,1.78,0.9694525659790095
5633,2017-09-03,Albany,conventional,4738.38,59299.03,121.57,2017,74297.64,1.76,0.9735061643372531
5634,2017-08-27,Albany,conventional,2156.2,59831.83,71.46,2017,75471.56,1.61,0.9676233037133299
5635,2017-08-20,Albany,conventional,1553.71,59028.13,130.14,2017,74620.33,1.61,0.9665293731277785
5636,2017-08-13,Albany,conventional,1947.26,118605.14,186.67,2017,133070.41,1.52,0.9833007131512942
5637,2017-08-06,Albany,conventional,2456.91,76509.07,336.06,2017,92938.17,1.53,0.9730251879659101
5638,2017-07-30,Albany,conventional,1915.81,73287.66,321.62,2017,83599.96,1.61,0.9709209049823364
5639,2017-07-23,Albany,conventional,1905.52,72533.28,940.58,2017,84416.61,1.49,0.952243660534627
5640,2017-07-16,Albany,conventional,2468.78,86707.66,2546.08,2017,102461.61,1.39,0.9725770057021011
5641,2017-07-09,Albany,conventional,2899.46,81929.02,494.51,2017,101331.41,1.52,0.9817554721714998
5642,2017-07-02,Albany,conventional,2808.47,79968.24,741.19,2017,98282.07,1.56,0.977435713424033
5643,2017-06-25,Albany,conventional,2224.67,74282.58,129.85,2017,89303.04,1.53,0.968560175311016
5644,2017-06-18,Albany,conventional,2454.01,82154.43,723.07,2017,97079.34,1.58,0.9682330046425233
5645,2017-06-11,Albany,conventional,1989.84,76736.87,364.68,2017,91949.26,1.65,0.9712761900737837
5646,2017-06-04,Albany,conventional,1923.04,72573.09,100.07,2017,84842.97,1.7,0.9574404193631822
5647,2017-05-28,Albany,conventional,2345.65,106690.16,105.74,2017,121869.11,1.8,0.9731268269717241
5648,2017-05-21,Albany,conventional,2307.02,86817.51,334.01,2017,100256.85,1.38,0.9692156569692431
5649,2017-05-14,Albany,conventional,2804.86,80469.48,196.39,2017,96750.67,1.77,0.9577287681416577
5650,2017-05-07,Albany,conventional,2473.53,87791.87,121.07,2017,127193.26,1.47,0.9777291176318884
5651,2017-04-30,Albany,conventional,2573.11,99451.52,81.89,2017,124926.39,1.13,0.9761931850947957
5652,2017-04-23,Albany,conventional,4437.5,61512.84,84.45,2017,89327.1,1.34,0.9771634102611505
5653,2017-04-16,Albany,conventional,4362.98,71957.73,161.28,2017,90487.05,1.62,0.969086742249115
5654,2017-04-09,Albany,conventional,3708.13,87775.86,44.28,2017,105436.11,1.54,0.9794714022165073
5655,2017-04-02,Albany,conventional,4530.8,68015.37,97.26,2017,92621.11,1.62,0.9636590847658166
5656,2017-03-26,Albany,conventional,3184.29,100854.22,70.17,2017,122951.65,1.16,0.9820272652477156
5657,2017-03-19,Albany,conventional,2332.96,72033.15,140.57,2017,92774.61,1.6,0.9710755899302466
5658,2017-03-12,Albany,conventional,2046.8,67162.63,89.32,2017,95713.29,1.54,0.9795124076858431
