,Date,region,type,4046,4225,4770,year,TotalVolume,Price,Prop
14741,2017-12-31,Albany,organic,18.12,198.16,0.0,2017,3463.85,1.46,0.029611055113056506
14742,2017-12-24,Albany,organic,31.68,327.39,0.0,2017,3694.13,1.58,0.04575724837929174
14743,2017-12-17,Albany,organic,37.46,209.3,0.0,2017,3513.77,1.43,0.04736092478730336
14744,2017-12-10,Albany,organic,18.04,262.14,0.0,2017,3779.98,1.45,0.03933156381980596
14745,2017-12-03,Albany,organic,118.55,306.55,0.0,2017,3577.04,1.44,0.024918939464025236
14746,2017-11-26,Albany,organic,27.75,182.15,0.0,2017,2841.29,1.57,0.043168699764153606
14747,2017-11-19,Albany,organic,0.0,252.98,0.0,2017,2506.38,1.75,0.025119218018793132
14748,2017-11-12,Albany,organic,0.0,245.71,0.0,2017,2664.62,1.71,0.022921340118444045
14749,2017-11-05,Albany,organic,3.56,64.14,0.0,2017,3425.86,1.5,0.04598296976757921
14750,2017-10-29,Albany,organic,12.99,180.62,0.0,2017,5583.79,1.38,0.07443463409549045
14751,2017-10-22,Albany,organic,3.52,268.83,0.0,2017,4337.67,1.49,0.05858410172853801
14752,2017-10-15,Albany,organic,18.71,237.43,0.0,2017,4522.84,1.47,0.05791256672889211
14753,2017-10-08,Albany,organic,23.15,341.52,0.0,2017,5229.43,1.4,0.0862970155470375
14754,2017-10-01,Albany,organic,31.2,150.24,0.0,2017,3423.95,1.59,0.04587958095680156
14755,2017-09-24,Albany,organic,56.82,95.31,0.0,2017,3627.18,1.42,0.050261047944193615
14756,2017-09-17,Albany,organic,30.32,215.1,0.0,2017,3431.2,1.55,0.041072299192882356
14757,2017-09-10,Albany,organic,45.5,196.27,0.0,2017,3139.84,1.78,0.03054743402099047
14758,2017-09-03,Albany,organic,112.42,254.49,0.0,2017,2022.0,2.0,0.02649383566274688
14759,2017-08-27,Albany,organic,44.15,210.54,0.0,2017,2525.28,1.91,0.03237669628667006
14760,2017-08-20,Albany,organic,61.21,143.82,0.0,2017,2584.08,1.86,0.033470626872221465
14761,2017-08-13,Albany,organic,42.86,207.29,0.0,2017,2259.92,1.9,0.016699286848705808
14762,2017-08-06,Albany,organic,39.31,331.89,0.0,2017,2576.49,1.98,0.026974812034089912
14763,2017-07-30,Albany,organic,55.26,92.99,0.0,2017,2503.82,1.67,0.029079095017663592
14764,2017-07-23,Albany,organic,93.39,93.39,0.0,2017,4233.61,1.42,0.047756339465373054
14765,2017-07-16,Albany,organic,155.1,274.95,0.0,2017,2889.03,1.87,0.02742299429789885
14766,2017-07-09,Albany,organic,38.06,187.9,0.0,2017,1883.1,2.0,0.018244527828500168
14767,2017-07-02,Albany,organic,59.41,278.04,0.0,2017,2268.86,2.03,0.022564286575966985
14768,2017-06-25,Albany,organic,142.46,295.6,0.0,2017,2898.81,2.13,0.031439824688983986
